month,actual_revenue,orders_count,avg_order_value,unique_customers,total_freight,unique_products_sold
2016-09-01,134.97,1,44.99,1,8.49,1
2016-10-01,40325.11,265,128.83,262,6165.55,239
2016-12-01,10.9,1,10.9,1,8.72,1
2017-01-01,111798.36,750,122.45,718,15684.01,583
2017-02-01,234223.4,1653,126.06,1630,37015.92,1210
2017-03-01,359198.85,2546,123.99,2508,55132.1,1720
2017-04-01,340669.68,2303,132.61,2274,50142.72,1601
2017-05-01,489338.25,3546,122.21,3479,77513.15,2296
2017-06-01,421923.37,3135,120.93,3076,68127.0,1987
2017-07-01,481604.52,3872,109.06,3802,84694.56,2464
2017-08-01,554699.7,4193,115.63,4114,91132.66,2800
2017-09-01,607399.67,4150,128.22,4083,93677.82,2752
2017-10-01,648247.65,4478,124.33,4417,102869.36,2935
2017-11-01,987765.37,7289,116.55,7183,165598.83,4400
2017-12-01,726033.19,5513,117.35,5450,117045.1,3358
2018-01-01,924645.0,7069,115.05,6974,153242.46,4022
2018-02-01,826437.13,6555,109.93,6400,139731.28,3745
2018-03-01,953356.25,7003,118.92,6914,167241.99,4085
2018-04-01,973534.09,6798,124.38,6744,159344.84,4248
2018-05-01,977544.69,6749,125.17,6693,151229.83,4011
2018-06-01,856077.86,6099,122.12,6061,155900.43,3990
2018-07-01,867953.46,6159,124.65,6100,159853.82,4125
2018-08-01,838576.64,6351,117.41,6310,146915.0,4308
